var str='';
                for (var i in $('.news_item').find('a')){
                	str +=$('.news_item').find('a').eq(i).find("h2").eq(0).text()+','
                	+$('.news_item').find('a').eq(i).find(".time_t").eq(0).text().replace(/[ \r\n]/g, "")+','
                	+$('.news_item').find('a').eq(i).attr('href') +"\n";
                }
                console.log(str)


双十一不孤单 网易大神小红娘空投对象送福利,2018-11-08,//clx.163.com/2018/11/08/25588_784181.html
雪山与草原之歌 《楚留香》全新塞北地图曝光,2018-10-29,//clx.163.com/2018/10/29/25588_782203.html
数十款游戏全打通  网易游戏会员开启Beta测试,2018-10-29,//clx.163.com/2018/10/29/25588_782202.html
雪山与草原之歌 《楚留香》全新塞北地图曝光,2018-10-26,//clx.163.com/2018/10/26/25588_781898.html
《楚留香》北京见面会惊喜收官 曝全新内容即将上线,2018-10-25,//clx.163.com/2018/10/25/25588_781704.html
歌神冲鸭！《楚留香》X唱吧全民翻唱大赛正式开启,2018-10-12,//clx.163.com/2018/10/12/25588_779377.html
楚留香接入网易大神 海量福利天天送,2018-09-29,//clx.163.com/2018/09/29/25588_777977.html
《楚留香》＆DQ定制款来袭 买一赠一双倍甜蜜,2018-08-17,//clx.163.com/2018/08/17/25588_770672.html
《楚留香》超精美可动人偶上线 华山武当抱回家,2018-07-26,//clx.163.com/2018/07/26/25588_766678.html
楚留香X网易大神，上精选赢夏威夷双人游大奖！,2018-07-19,//clx.163.com/2018/07/19/25588_765544.html
江湖居家指南 《楚留香》自定义宅邸系统初窥,2018-07-18,//clx.163.com/2018/07/18/25588_765189.html
变老变小变漂亮 捏脸2.0系统全面观,2018-06-22,//clx.163.com/news/official/2018/06/22/26802_760618.html
年度大型资料片《观沧海》今日上线,2018-06-22,//clx.163.com/news/official/2018/06/22/26802_760617.html
《楚留香》方思明COS大片来袭 神秘诡谲风男神上线,2018-06-06,//clx.163.com/news/official/2018/06/06/26802_757875.html
奇招震江湖 自创武学来袭,2018-06-06,//clx.163.com/news/official/2018/06/06/26802_757873.html
浮洲彼岸的故人 新门派沧海人物曝光,2018-06-06,//clx.163.com/news/official/2018/06/06/26802_757872.html
