var str='';
for (var i in $('.taptap-topic-item')){
	str +=$('.taptap-topic-item').eq(i).find(".item-text-title").eq(0).find('h2').eq(0).text()+','
	+$('.taptap-topic-item').eq(i).find(".item-text-footer").eq(0).find(".pull-left").eq(0).text().replace(/[ \r\n]/g, "")+','
	+$('.taptap-topic-item').eq(i).find(".item-text-title").eq(0).attr('href') +"\n";
}
console.log(str)


《汉家江湖》在线更新说明20181017,52分钟前,https://www.taptap.com/topic/3931234
玩家攻略 | 如何在汉家江湖中“取巧”,昨天,https://www.taptap.com/topic/4030868
工作室新作《汉家江湖2》开发画面曝光，汉家江湖人物可以继承,2天前,https://www.taptap.com/topic/4064483
分享一张大师姐的图片~,2天前,https://www.taptap.com/topic/4214442
双十一！我们来谈一场链接式友谊吧,3天前,https://www.taptap.com/topic/4148172
《汉家江湖》全新WIKI上线！,11-12,https://www.taptap.com/topic/424478
玩家攻略 | 八门思路分析,11-09,https://www.taptap.com/topic/4157032
聊一聊如何让游戏“保持热度”,11-08,https://www.taptap.com/topic/4118311
玩家说 | 玉真终于获得超级潜质,11-07,https://www.taptap.com/topic/4103460
玩家攻略 | 普及一下汉家江湖里面的伤害类型,11-06,https://www.taptap.com/topic/4093148
玩家攻略 | 清心的扫盲,11-06,https://www.taptap.com/topic/4095474
玩家同人轉發：手绘了一幅图以寄哀思,11-02,https://www.taptap.com/topic/4055548
松鼠茶馆 | 你曾经在行侠挂机里遇见了一个美丽少女,11-01,https://www.taptap.com/topic/4047294
“鹊桥相会、七夕有情”——汉家江湖七夕活动更新,10-30,https://www.taptap.com/topic/3483276
汉家江湖（资料片）开发中视频~,10-28,https://www.taptap.com/topic/3780698
《汉家江湖》10月17日不停服更新公告,10-20,https://www.taptap.com/topic/3925799
20181013服务器波动补偿,10-16,https://www.taptap.com/topic/3892206
全员福利！TapTap热门榜第一！,10-12,https://www.taptap.com/topic/3859369
这是《汉家江湖》史上最高能的国庆更新+活动帖！,10-10,https://www.taptap.com/topic/3797041
关于游戏卡顿的情况说明,10-09,https://www.taptap.com/topic/3851283
《汉家江湖》1.1.2新版本更新公告,10-08,https://www.taptap.com/topic/3722825
【汉家江湖】20180928在线更新说明,09-28,https://www.taptap.com/topic/3779843
【汉家江湖】延长冰皮月饼掉落时间及活动商城开放时间的通知,09-26,https://www.taptap.com/topic/3764212
【汉家江湖】新论剑模式更新调整公告20180925,09-25,https://www.taptap.com/topic/3759746
《汉家江湖》9月21日停服更新公告,09-21,https://www.taptap.com/topic/3717394
江湖的英文怎么说？,09-18,https://www.taptap.com/topic/3589326
【紧急公告】20180908论剑周结算异常的处理说明,09-09,https://www.taptap.com/topic/3650268
夏天到了，大侠要参加松鼠们的游园会么？,09-02,https://www.taptap.com/topic/3283352
汉家江湖的代码里到底有什么？,08-17,https://www.taptap.com/topic/3379960
鹊桥相会，七夕活动预告！,08-16,https://www.taptap.com/topic/3470958
当文人成为剑客——李白，配音活动！,08-16,https://www.taptap.com/topic/3461440
当文人成为剑客——《汉家江湖》史上最大福利,08-15,https://www.taptap.com/topic/3445431
汉家江湖新主题曲预览 - 仙剑音乐之父林坤信大大制作,08-08,https://www.taptap.com/topic/3382119
《汉家江湖》1.1.1版本-旧友新裳，邀君同游新海岛,07-31,https://www.taptap.com/topic/3276352
新版海岛简单攻略——白色衣角,07-29,https://www.taptap.com/topic/3295880
【重要通知】关于封号和作弊查处的提前通告,07-24,https://www.taptap.com/topic/466812
汉家江湖1.1.1版本更新预告(四)： 五年了，欠你一个立绘…,07-24,https://www.taptap.com/topic/3238733
船新的海岛 船新的海岛攻略（召唤流）——吴雪风,07-23,https://www.taptap.com/topic/3295858
潜质身世揭秘活动第三期：东海双璧！,07-23,https://www.taptap.com/topic/3262563
【设定大公开！】萨布素&纳兰,07-14,https://www.taptap.com/topic/3171797
插播一个活动：新来的小姐姐突然就被玩坏了…,07-14,https://www.taptap.com/topic/3238764
【活动】潜质身世揭秘活动第一期：长白旧事,07-02,https://www.taptap.com/topic/3160338
听说有人要拿松鼠来当下酒菜？！,06-30,https://www.taptap.com/topic/3142664
乱斗新赛季前瞻：4V4门派弟子加入特殊卡池！新增时间段和复活次数！,06-27,https://www.taptap.com/topic/3131542
【汉家江湖】20180619 我仿佛看到了N剑穿云,06-24,https://www.taptap.com/topic/3102138
《汉家江湖》大版本来袭 - 端午节活动、血罗刹、巨量AI优化、数值平衡……,06-21,https://www.taptap.com/topic/3067810
汉家江湖系统维护通知,06-19,https://www.taptap.com/topic/3080042
【汉家江湖】绝对不会是一颗珠子,06-18,https://www.taptap.com/topic/3078056
清明过完，非正式预告今年即将给大家呈现的东西,06-17,https://www.taptap.com/topic/2797419
【汉家江湖】血罗刹：踏血而来为君归！,06-16,https://www.taptap.com/topic/3057763
小谈一下最近即将升级的《汉家江湖》1.1版本,06-15,https://www.taptap.com/topic/3058876
【公告】反外挂声明前序,06-15,https://www.taptap.com/topic/3063387
【汉家江湖】一周年庆！前方大波福利向你来袭！！,06-11,https://www.taptap.com/topic/2959454
你们喜欢哪个门派？,06-09,https://www.taptap.com/topic/2993918
松鼠答疑 | 新版本答疑20180418,06-08,https://www.taptap.com/topic/2832869
震惊！松鼠到底中了什么毒？,06-07,https://www.taptap.com/topic/3033661
踏血而来为君归,06-04,https://www.taptap.com/topic/3004864
【汉家江湖】关于汉家江湖游戏5月27日充值活动的调整公告,05-28,https://www.taptap.com/topic/3001450
【汉家江湖】周年庆活动之潜质概率up公布！,05-25,https://www.taptap.com/topic/2961924
【汉家江湖】【周年庆】我就想让我要的绝潜质up up up ！,05-24,https://www.taptap.com/topic/2955683
【汉家江湖】周年庆活动停服更新说明20180517,05-21,https://www.taptap.com/topic/2964358
【汉家松鼠】松鼠哔哔哔（第二期）,05-16,https://www.taptap.com/topic/2956619
【五一活动】商人的求助,05-13,https://www.taptap.com/topic/2864872
【汉家松鼠】松鼠哔哔哔（第一期）,05-10,https://www.taptap.com/topic/2907661
《汉家江湖》全新WIKI正式上线！！！,05-05,https://www.taptap.com/topic/2860799
【汉家江湖】5月份内测征集~~~,05-02,https://www.taptap.com/topic/2898361
乱斗大数据统计,04-28,https://www.taptap.com/topic/2874307
《汉家江湖》1.0.16版本更新公告,04-27,https://www.taptap.com/topic/2826996
汉家江湖CG小合集,04-24,https://www.taptap.com/topic/2293771
《汉家江湖》奇遇玩法时间调整公告,04-23,https://www.taptap.com/topic/2044226
【汉家江湖】关于0418的日常乱斗,04-18,https://www.taptap.com/topic/2832938
【汉家江湖】1.0.16版本数值调整公告,04-18,https://www.taptap.com/topic/2815779
1.0.16版本世界论剑第二批开放公告,04-15,https://www.taptap.com/topic/2815786
乱斗玩法详情公告,04-10,https://www.taptap.com/topic/2804627
乱斗——新玩法前瞻,04-07,https://www.taptap.com/topic/2772034
禁止在游戏中发布不当言论,03-29,https://www.taptap.com/topic/2730726
想认真的问一贴~关于推荐等级的事儿,03-26,https://www.taptap.com/topic/2645035
《汉家江湖》防作弊版本已经在内测了，有请各路大神前来挑战,03-25,https://www.taptap.com/topic/2722411
【汉家江湖】每周答疑20180322,03-22,https://www.taptap.com/topic/2727312
《汉家江湖》新春一大波更新！鬼才策划松鼠捡到宝了？！,03-22,https://www.taptap.com/topic/2455313
抱歉影响体验，正在维护中,03-20,https://www.taptap.com/topic/2717169
游戏请在此官方链接中下载,03-16,https://www.taptap.com/topic/2704192
《汉家江湖》2018年3月封号名单更新,03-15,https://www.taptap.com/topic/2699712
松鼠答疑20180308,03-14,https://www.taptap.com/topic/2659703
关于“三龟息”及类似问题处理结果通告,03-08,https://www.taptap.com/topic/2609439
松鼠答疑 | 松鼠哇，你吃了我的论剑牌子！,03-02,https://www.taptap.com/topic/2625973
汤圆节快乐~！,03-02,https://www.taptap.com/topic/2626151
《汉家江湖》元宵节福利公告,03-01,https://www.taptap.com/topic/2616389
【内测小窝招募】2018，一个船新的内测体验，开始招新啦~,02-27,https://www.taptap.com/topic/2603330
《汉家江湖》打击外挂和修改的公告,02-27,https://www.taptap.com/topic/2591076
《汉家江湖》2018年2月封号名单,02-26,https://www.taptap.com/topic/2591089
【举报贴】大家可以在此留下疑似使用外挂的名单，本帖将全部回复,02-26,https://www.taptap.com/topic/2601940
祝福啦,02-25,https://www.taptap.com/topic/2593607
祝福啦,02-24,https://www.taptap.com/topic/2587120
祝福啦,02-23,https://www.taptap.com/topic/2578012
祝福啦,02-22,https://www.taptap.com/topic/2562817
祝福啦,02-22,https://www.taptap.com/topic/2547283
【汉家江湖】【装备】新一期装备wiki信息同步20180222,02-22,https://www.taptap.com/topic/2574395
祝福啦,02-22,https://www.taptap.com/topic/2569958
祝福啦,02-20,https://www.taptap.com/topic/2554611
祝福啦,02-18,https://www.taptap.com/topic/2539853
祝福啦,02-17,https://www.taptap.com/topic/2532628
祝福啦,02-16,https://www.taptap.com/topic/2525495
祝福啦,02-15,https://www.taptap.com/topic/2517677
祝福啦,02-14,https://www.taptap.com/topic/2507225
春节更新前瞻：新剧情、新人物、新潜质、新奇遇,02-14,https://www.taptap.com/topic/2428286
祝福哦～,02-14,https://www.taptap.com/topic/2496017
新春祝福,02-13,https://www.taptap.com/topic/2483718
关于春节客服咨询的安排,02-11,https://www.taptap.com/topic/2480507
《汉家江湖》巫玄神功处理方案公告,02-11,https://www.taptap.com/topic/2435697
【汉家江湖】每周答疑20180116,02-10,https://www.taptap.com/topic/2217727
春节更新前瞻：节日福利、新春打CALL、霰雪霏云up、东海旧事,02-09,https://www.taptap.com/topic/2439473
春节更新前瞻：沅江河底挑战副本,02-07,https://www.taptap.com/topic/2416752
《汉家江湖》新服集结——明天12：00,02-01,https://www.taptap.com/topic/2299269
《汉家江湖》世界论剑补偿公告,01-28,https://www.taptap.com/topic/2299294
《汉家江湖》1.0.15版本更新公告,01-28,https://www.taptap.com/topic/2271148
【汉家江湖】 祈福商城更新预告 2018.01.04,01-21,https://www.taptap.com/topic/2140744
【汉家松鼠】松鼠茶馆 | 妹纸们的前半生,01-16,https://www.taptap.com/topic/2086538
致全体玩家公开帖：澄清几个事实，以及带带节奏,01-14,https://www.taptap.com/topic/1728560
《汉家江湖》1.0.14版本更新公告,01-06,https://www.taptap.com/topic/2133873
同人~同人~,01-04,https://www.taptap.com/topic/472677
《江湖X：汉家江湖》关于挑战副本改动的补充说明2017.1,01-03,https://www.taptap.com/topic/1703558
【汉家江湖】 祈福商城更新预告 2017.12.28,2017-12-29,https://www.taptap.com/topic/2084554
《汉家江湖》1.0.13已知BUG通告及处理方案预告,2017-12-27,https://www.taptap.com/topic/2037312
《汉家江湖》在线更新详情与奇遇补充说明20171226,2017-12-27,https://www.taptap.com/topic/2068657
《汉家江湖》1.0.13已知BUG通告及处理方案预告,2017-12-23,https://www.taptap.com/topic/2034926
预告：《江湖X:汉家江湖》更名为《汉家江湖》,2017-12-23,https://www.taptap.com/topic/2006274
【汉家江湖】在线更新说明与挑战副本补偿20171223,2017-12-23,https://www.taptap.com/topic/2027339
《汉家江湖》圣诞活动公告,2017-12-22,https://www.taptap.com/topic/2026473
《汉家江湖》1.0.13版本更新公告,2017-12-22,https://www.taptap.com/topic/2014979
新增门派高级套装、数值调整——预告第五弹,2017-12-20,https://www.taptap.com/topic/2000152
江湖志——更新预告,2017-12-19,https://www.taptap.com/topic/1973870
奇遇——预告第四弹,2017-12-17,https://www.taptap.com/topic/1988977
【汉家江湖】“汉家江湖，登录！”文字征集活动！,2017-12-15,https://www.taptap.com/topic/1889333
【江湖X：汉家江湖】在线更新说明20171212,2017-12-15,https://www.taptap.com/topic/1950230
【汉家江湖】活动644名幸运奖公布~,2017-12-15,https://www.taptap.com/topic/1953381
【汉家江湖】登录出现黑屏/卡死/闪退的童鞋，看过来看过来~~,2017-12-12,https://www.taptap.com/topic/1951966
【江湖X:汉家江湖】 祈福商城更新预告 2017.12.07,2017-12-08,https://www.taptap.com/topic/1912227
【江湖X:汉家江湖】 祈福商城更新预告 2017.11.30,2017-11-30,https://www.taptap.com/topic/1853788
【汉家江湖】每周答疑20171130,2017-11-30,https://www.taptap.com/topic/1853358
【江湖X:汉家江湖】 祈福商城更新预告 2017.11.23,2017-11-29,https://www.taptap.com/topic/1793342
【专题收集】技能类/剧情类意见收集,2017-11-29,https://www.taptap.com/topic/1779105
【每周答疑】20171121,2017-11-28,https://www.taptap.com/topic/1779092
【江湖X：汉家江湖】 2017.11.17在线更新说明,2017-11-21,https://www.taptap.com/topic/1747329
技能答疑 | 剑雨伤害计算公式是什么？,2017-11-21,https://www.taptap.com/topic/1683712
【汉家江湖】20171115每周答疑,2017-11-21,https://www.taptap.com/topic/1735938
【江湖X：汉家江湖】 2017年11月21日停服维护公告,2017-11-20,https://www.taptap.com/topic/1770422
【江湖X：汉家江湖】 1.0.12版本体力系统调整计划公示17.11.11,2017-11-20,https://www.taptap.com/topic/1705184
聊一聊接下来汉家江湖的改动方向,2017-11-18,https://www.taptap.com/topic/1425014
评论区捉虫行动来啦~,2017-11-15,https://www.taptap.com/topic/1735956
【江湖X：汉家江湖】 2017.11.15在线更新说明,2017-11-14,https://www.taptap.com/topic/1729220
【江湖X：汉家江湖】关于挑战副本掉落的更新预告2017.11.11,2017-11-12,https://www.taptap.com/topic/1708650
【江湖X：汉家江湖】（1711115）屈心临时赠送体力活动修复,2017-11-11,https://www.taptap.com/topic/1706607
【江湖X：汉家江湖】2017.11.11在线更新说明 今晚体力邮件发放,2017-11-11,https://www.taptap.com/topic/1706472
